ent_num,query,region,country
4383,c/o W. HERRERA Y CIA. S. EN C.,Cali,Colombia
4383,c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,Cali,Colombia
4383,c/o INVHERESA S.A.,Cali,Colombia
4383,c/o INCOVALLE,Cali,Colombia
4383,c/o CONSTRUEXITO S.A.,Cali,Colombia
4383,c/o INVERSIONES EL PENON S.A.,Cali,Colombia
4383,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia
4383,c/o VIAJES MERCURIO LTDA,Cali,Colombia
4383,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia
4384,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Calle,Colombia
4398,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia
4398,Calle 24N No. 6-17,Cali,Colombia
4399,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Cali,Colombia
4400,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia
4400,Avenida 4AN No. 47-89,Cali,Colombia
4400,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia
4400,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Cali,Colombia
4412,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia
4418,c/o IMCOMER LTDA.,Cali,Colombia
4418,c/o INVERSIONES EL PENON S.A.,Cali,Colombia
4418,c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,Cali,Colombia
4418,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia
4418,c/o CONCRETOS CALI S.A.,Cali,Colombia
4418,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia
4418,Calle 3C No. 72-64 10,Cali,Colombia
4418,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia
4424,"Transversal 11, Diagonal 23-30 apt. 304A",Cali,Colombia
4435,c/o CONCRETOS CALI S.A.,Cali,Colombia
4435,Calle 5 No. 46-83 Local 119,Cali,Colombia
4435,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia
4435,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia
4436,c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,Cali,Colombia
4436,c/o INMOBILIARIA BOLIVAR LTDA.,Cali,Colombia
4444,Avenida 2N No. 7N-55 of. 601-602,Cali,Colombia
4450,c/o CONSULTORIA EMPRESARIAL ESPECIALIZADA LTDA.,Cali,Colombia
4450,c/o SERVICIOS INMOBILIARIAS LTDA.,Cali,Colombia
4450,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia
4450,c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.,Cali,Colombia
4451,Carrera 76 No. 6-200 102,Cali,Colombia
4451,Avenida 7N No. 17A-46,Cali,Colombia
4451,c/o INVERSIONES EL PENON S.A.,Cali,Colombia
4451,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia
4452,c/o INVERSIONES EL PENON S.A.,Cali,Colombia
4452,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia
4452,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia
4453,c/o GANADERIAS DEL VALLE S.A.,Cali,Colombia
4453,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia
4453,c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.,Cali,Colombia
4454,Carrera 60 No. 2A-107,Cali,Colombia
4457,Carrera 3 No. 10-02 Local 113,Cali,Colombia
4460,c/o CONCRETOS CALI S.A.,Cali,Colombia
4460,c/o CONSTRUEXITO S.A.,Cali,Colombia
4460,c/o INDUSTRIA MADERERA ARCA LTDA,Cali,Colombia
4460,Calle 66 No. 1A-6 51,Cali,Colombia
4460,c/o GANADERIAS DEL VALLE S.A.,Cali,Colombia
4460,c/o SOCOVALLE LTDA.,Cali,Colombia
4486,Avenida 2DN No. 24N-76,Cali,Colombia
4486,Carrera 61 No. 11-58,Cali,Colombia
4487,"Avenida Caracas No. 59-77 of. 201A, 401B y 405B",Bogota,Colombia
4488,"Avenida Caracas No. 59-77 of. 201A, 401B, 405B y 407B",Bogota,Colombia
4489,Carrera 7 No. 72-28 of. 301,Bogota,Colombia
4489,Carrera 4 No. 86-88,Bogota,Colombia
4489,Transversal 3 No. 85-10 apt. 401 Interior 1,Bogota,Colombia
4490,Avenida 2N No. 7N-55 of. 521,Cali,Colombia
4490,Carrera 68 No. 13B-61 of. 104B,Cali,Colombia
4490,Calle 70N No. 14-31,Cali,Colombia
4491,Avenida 2N No. 7N-55 of. 421,Cali,Colombia
4492,Avenida 2FN No. 24N-92,Cali,Colombia
4492,Carrera 83 No. 6-50,Cali,Colombia
4492,Carrera 61 No. 11-58,Cali,Colombia
4493,Avenida 6N y Avenida 4 No. 13N-50 of. 1201,Cali,Colombia
4495,Calle 11 No. 32-47 Bodega 41 Arroyohondo,Cali,Colombia
4495,Calle 32 No. 11-41 Bodega 4 Arroyohondo,Cali,Colombia
4496,Calle 17N No. 6N-28,Cali,Colombia
4496,Calle 24N No. 6N-21,Cali,Colombia
4497,"Avenida Caracas No. 59-77 of. 201A, 401B y 405B",Bogota,Colombia
